trial_number,alpha_id,traj_id,human_ave,overall_ave,human_total,overall_total,human_dim_ave,overall_dim_ave,human_dim_total,overall_dim_total
17,1,1,0.02232789914834893,0.004465579829669776,9.288406045713154,1.8576812091426271,"[0.01665821908566761, 0.009204380070954563, 0.018534636142634838]","[0.0033316438171335267, 0.0018408760141909156, 0.003706927228526962]","[6.929819139637726, 3.8290221095170986, 7.710408635336092]","[1.385963827927547, 0.7658044219034209, 1.5420817270672162]"
18,1,4,0.028870400751546902,0.005774080150309382,12.010086712643512,2.402017342528703,"[0.008393161387996138, 0.024222453593935045, 0.011423227916945602]","[0.001678632277599228, 0.004844490718787011, 0.002284645583389121]","[3.491555137406394, 10.076540695076979, 4.7520628134493705]","[0.6983110274812789, 2.0153081390153966, 0.9504125626898744]"
19,1,3,0.052918413279529605,0.01058368265590592,22.014059924284314,4.4028119848568625,"[0.018671571183703134, 0.04871705061683158, 0.017051338684602464]","[0.0037343142367406387, 0.009743410123366329, 0.0034102677369205023]","[7.767373612420504, 20.266293056601935, 7.093356892794626]","[1.5534747224841057, 4.053258611320393, 1.4186713785589289]"
20,1,5,0.04033539482080832,0.00806707896416166,16.779524245456262,3.3559048490912504,"[0.04523682833329578, 0.03594312832474062, 0.013507348963558189]","[0.00904736566665915, 0.0071886256649481345, 0.00270146979271164]","[18.818520586651044, 14.952341383092097, 5.6190571688402065]","[3.7637041173302066, 2.990468276618424, 1.1238114337680423]"
21,5,5,0.018272251420029195,0.018272251420029195,7.601256590732145,7.601256590732145,"[0.02303792069163518, 0.008200558054256174, 0.014231419405420756]","[0.02303792069163518, 0.008200558054256174, 0.014231419405420756]","[9.583775007720234, 3.4114321505705685, 5.920270472655035]","[9.583775007720234, 3.4114321505705685, 5.920270472655035]"
22,5,3,0.056211126814754056,0.056211126814754056,23.38382875493769,23.38382875493769,"[0.04434845721076196, 0.02391668060319263, 0.04926366853462844]","[0.04434845721076196, 0.02391668060319263, 0.04926366853462844]","[18.448958199676973, 9.949339130928134, 20.49368611040543]","[18.448958199676973, 9.949339130928134, 20.49368611040543]"
23,5,2,0.016602143757403265,0.016602143757403265,6.889889659322355,6.889889659322355,"[0.00758400283763951, 0.00927746828962771, 0.011824464242486973]","[0.00758400283763951, 0.00927746828962771, 0.011824464242486973]","[3.1473611776203967, 3.8501493401954994, 4.907152660632094]","[3.1473611776203967, 3.8501493401954994, 4.907152660632094]"
24,5,4,0.02266531300238543,0.02266531300238543,9.42877020899234,9.42877020899234,"[0.011610930114777256, 0.00890698425573757, 0.019419956926632183]","[0.011610930114777256, 0.00890698425573757, 0.019419956926632183]","[4.830146927747339, 3.705305450386829, 8.078702081478989]","[4.830146927747339, 3.705305450386829, 8.078702081478989]"
25,5,1,0.02328017942891877,0.02328017942891877,9.684554642430209,9.684554642430209,"[0.046698865170965, 0.009343009473090882, 0.018928682032750672]","[0.046698865170965, 0.009343009473090882, 0.018928682032750672]","[19.42672791112144, 3.886691940805807, 7.8743317256242795]","[19.42672791112144, 3.886691940805807, 7.8743317256242795]"
26,4,1,0.023405004207527932,0.018724003366022347,9.73648175033162,7.789185400265297,"[0.03840917031866349, 0.007396238160121948, 0.02095714431240327]","[0.030727336254930824, 0.005916990528097561, 0.016765715449922624]","[15.978214852564014, 3.0768350746107305, 8.71817203395976]","[12.782571882051222, 2.461468059688585, 6.974537627167812]"
27,4,4,0.014562331304057577,0.011649865043246055,6.057929822487952,4.846343857990359,"[0.026023102580976384, 0.00840439546302628, 0.010463630399186184]","[0.020818482064781076, 0.006723516370421027, 0.008370904319348955]","[10.825610673686176, 3.4962285126189325, 4.352870246061452]","[8.660488538948927, 2.7969828100951473, 3.4822961968491652]"
28,4,3,0.01853242221568605,0.014825937772548849,7.709487641725397,6.167590113380321,"[0.03850672727684761, 0.009600304429745542, 0.013478693022675839]","[0.03080538182147812, 0.007680243543796436, 0.010782954418140676]","[16.018798547168608, 3.9937266427741456, 5.607136297433149]","[12.815038837734898, 3.194981314219317, 4.485709037946521]"
29,4,5,0.023504437770874822,0.018803550216699886,9.777846112683926,7.822276890147152,"[0.03629016563937249, 0.009667531764523184, 0.019320660680236596]","[0.029032132511497978, 0.0077340254116185485, 0.015456528544189259]","[15.096708905978955, 4.021693214041645, 8.037394842978424]","[12.077367124783159, 3.217354571233316, 6.429915874382732]"
30,4,2,0.01668248863680358,0.013345990909442856,6.93991527291029,5.551932218328228,"[0.0196319324834319, 0.00786099168092825, 0.013282291420104743]","[0.015705545986745527, 0.0062887933447425964, 0.01062583313608381]","[8.16688391310767, 3.2701725392661523, 5.525433230763573]","[6.533507130486139, 2.61613803141292, 4.420346584610865]"
