trial_number,alpha_id,traj_id,human_ave,overall_ave,human_total,overall_total,human_dim_ave,overall_dim_ave,human_dim_total,overall_dim_total
20,1,4,0.03789441712161025,0.007578883424322044,15.764077522589863,3.1528155045179704,"[0.034011234330367464, 0.034663731762820164, 0.009072017626978865]","[0.006802246866073492, 0.006932746352564034, 0.0018144035253957768]","[14.148673481432866, 14.42011241333319, 3.7739593328232077]","[2.8297346962865726, 2.884022482666638, 0.7547918665646431]"
21,5,2,0.021879016248160563,0.021879016248160563,9.101670759234795,9.101670759234795,"[0.04350358262845334, 0.01279926306613448, 0.015855505254969038]","[0.04350358262845334, 0.01279926306613448, 0.015855505254969038]","[18.09749037343659, 5.324493435511943, 6.59589018606712]","[18.09749037343659, 5.324493435511943, 6.59589018606712]"
22,5,1,0.03698962660951747,0.03698962660951747,15.387684669559267,15.387684669559267,"[0.07531983361503662, 0.010893263727117845, 0.033301649420338204]","[0.07531983361503662, 0.010893263727117845, 0.033301649420338204]","[31.333050783855235, 4.531597710481024, 13.853486158860692]","[31.333050783855235, 4.531597710481024, 13.853486158860692]"
23,5,3,0.029411458756851392,0.029411458756851392,12.235166842850179,12.235166842850179,"[0.07816580826858448, 0.01072677302367326, 0.026367947663802554]","[0.07816580826858448, 0.01072677302367326, 0.026367947663802554]","[32.51697623973114, 4.462337577848076, 10.969066228141862]","[32.51697623973114, 4.462337577848076, 10.969066228141862]"
24,5,4,0.02546859773585263,0.02546859773585263,10.569468060378842,10.569468060378842,"[0.05109880293122232, 0.01329680032847084, 0.01984228570557185]","[0.05109880293122232, 0.01329680032847084, 0.01984228570557185]","[21.206003216457262, 5.518172136315399, 8.234548567812316]","[21.206003216457262, 5.518172136315399, 8.234548567812316]"
25,5,5,0.026681613029843582,0.026681613029843582,11.09955102041493,11.09955102041493,"[0.08348966319845202, 0.010325423203492355, 0.023678818338879606]","[0.08348966319845202, 0.010325423203492355, 0.023678818338879606]","[34.731699890556044, 4.29537605265282, 9.850388428973917]","[34.731699890556044, 4.29537605265282, 9.850388428973917]"
26,4,4,0.018478663681107295,0.014782930944885832,7.6871240913406345,6.149699273072506,"[0.041741177845029724, 0.009382288632361596, 0.014787858378288516]","[0.03339294227602378, 0.007505830905889272, 0.011830286702630807]","[17.364329983532365, 3.903032071062424, 6.151749085368023]","[13.891463986825894, 3.1224256568499373, 4.921399268294415]"
27,4,5,0.03456711518643272,0.027653692149146168,14.37991991755601,11.503935934044806,"[0.08898857292840708, 0.012872709745557032, 0.031042536908506037]","[0.07119085834272568, 0.010298167796445627, 0.024834029526804833]","[37.01924633821734, 5.355047254151725, 12.913695353938511]","[29.61539707057388, 4.284037803321381, 10.33095628315081]"
28,4,1,0.039385645864094924,0.03150851669127594,16.38442867946349,13.10754294357079,"[0.08362381981161492, 0.011020255029347805, 0.035198997076200986]","[0.06689905584929196, 0.008816204023478245, 0.028159197660960786]","[34.78750904163181, 4.584426092208687, 14.642782783699609]","[27.83000723330545, 3.66754087376695, 11.714226226959687]"
29,4,3,0.031829887044294285,0.025463909635435454,13.241233010426424,10.59298640834115,"[0.06448981449504451, 0.015059631117805613, 0.02712355607156345]","[0.051591851596035625, 0.012047704894244485, 0.021698844857250762]","[26.827762829938518, 6.264806545007135, 11.283399325770395]","[21.46221026395082, 5.011845236005706, 9.026719460616317]"
30,4,2,0.023384006536401526,0.01870720522912123,9.727746719143035,7.782197375314431,"[0.024721773372831532, 0.015251527555038712, 0.015408826397313787]","[0.019777418698265218, 0.012201222044030964, 0.012327061117851017]","[10.284257723097918, 6.344635462896104, 6.410071781282535]","[8.227406178478331, 5.075708370316881, 5.128057425026023]"
