pid,trust_tech,play_games,play_music,order,autonomy,auto_grouped,pupil_diameter,new_left,new_right,new_ave
8,6,2,2,dec,0.8,high,3.028796181439505,2.025,2.025,2.025
8,6,2,2,dec,0.0,low,3.094679543898189,2.325,2.0000000000000004,2.1624999999999996
8,6,2,2,dec,0.2,low,3.1130311512094284,2.25,2.375,2.3125
9,6,2,4,inc,0.4,low,2.9814288377187097,2.55,2.5250000000000004,2.5375
9,6,2,4,inc,0.0,low,2.8426729874864316,2.55,2.5,2.5250000000000004
9,6,2,4,inc,0.2,low,2.7463904412355427,2.6,2.4,2.5
9,6,2,4,inc,0.6,high,2.71972724376282,2.575,2.375,2.475
9,6,2,4,inc,0.8,high,2.6675368894603633,2.5,2.525,2.5125
10,3,4,1,dec,0.4,low,3.514630843319041,2.075,1.35,1.7125000000000001
10,3,4,1,dec,0.6,high,3.3379543374320084,2.1750000000000003,0.9750000000000001,1.575
10,3,4,1,dec,0.8,high,3.265656276829562,1.875,0.95,1.4124999999999999
10,3,4,1,dec,0.0,low,3.380557208333768,1.9000000000000001,0.9,1.4000000000000001
10,3,4,1,dec,0.2,low,3.221377270708383,1.8,0.7000000000000001,1.25
11,5,6,3,inc,0.4,low,3.450252084546984,2.1,2.275,2.1875
11,5,6,3,inc,0.0,low,3.307262138448793,2.3,2.2,2.25
11,5,6,3,inc,0.2,low,3.252365657733726,2.2,2.3,2.25
11,5,6,3,inc,0.6,high,2.986265285946073,1.8499999999999999,1.8249999999999997,1.8375000000000001
11,5,6,3,inc,0.8,high,3.091265677865613,1.5499999999999998,1.625,1.5875
12,6,7,5,dec,0.4,low,0.0,1.2249999999999999,1.2249999999999999,1.2249999999999999
12,6,7,5,dec,0.6,high,0.0,1.1500000000000001,1.1500000000000001,1.1500000000000001
12,6,7,5,dec,0.8,high,0.0,1.025,1.025,1.025
12,6,7,5,dec,0.0,low,0.0,1.1,1.1,1.1
12,6,7,5,dec,0.2,low,0.0,0.975,0.975,0.975
13,7,7,2,inc,0.4,low,3.907982136218324,2.0,2.0749999999999997,2.0374999999999996
13,7,7,2,inc,0.0,low,3.6651066302241437,1.9500000000000002,1.95,1.95
13,7,7,2,inc,0.2,low,3.472890458867904,1.775,1.9,1.8375000000000001
13,7,7,2,inc,0.6,high,3.355086642928333,1.825,1.8250000000000002,1.8250000000000002
13,7,7,2,inc,0.8,high,3.3856224433227853,1.525,1.5999999999999999,1.5625
14,6,6,2,dec,0.4,low,2.9914822413532844,1.875,2.0,1.9375
14,6,6,2,dec,0.6,high,2.886928497801531,0.875,0.8999999999999999,0.8875000000000001
14,6,6,2,dec,0.8,high,2.75326717545057,0.725,0.775,0.75
14,6,6,2,dec,0.0,low,2.7116127494587423,0.6,0.7749999999999999,0.6875
14,6,6,2,dec,0.2,low,2.7943276807429873,0.45,0.65,0.55
15,6,5,4,inc,0.4,low,3.5344164082408422,2.4749999999999996,2.3,2.3875
15,6,5,4,inc,0.0,low,3.398508930004602,2.225,2.1,2.1624999999999996
15,6,5,4,inc,0.2,low,3.272809978027031,1.9749999999999999,1.8250000000000002,1.9000000000000001
15,6,5,4,inc,0.6,high,3.228547636152779,1.925,1.9749999999999999,1.9500000000000002
15,6,5,4,inc,0.8,high,3.2817157142370084,1.9500000000000002,2.025,1.9875000000000003
16,5,1,1,dec,0.4,low,3.886576375770442,1.875,2.1500000000000004,2.0124999999999997
16,5,1,1,dec,0.6,high,3.6850116235766825,2.025,2.15,2.0875
16,5,1,1,dec,0.8,high,3.5562415757361125,2.075,1.975,2.025
16,5,1,1,dec,0.0,low,3.582966956566465,2.2750000000000004,2.5500000000000003,2.4125000000000005
16,5,1,1,dec,0.2,low,3.4385205636819975,2.1999999999999997,2.0,2.1
17,5,5,1,inc,0.4,low,4.221284230922038,1.9999999999999998,1.95,1.975
17,5,5,1,inc,0.0,low,4.081172405631063,1.9000000000000001,2.0250000000000004,1.9625000000000001
17,5,5,1,inc,0.2,low,3.9149630233216177,1.9,1.8750000000000002,1.8875
17,5,5,1,inc,0.6,high,3.722424900598652,2.3,2.075,2.1875
17,5,5,1,inc,0.8,high,3.604183410244379,2.1,2.1500000000000004,2.125
18,3,6,1,dec,0.4,low,3.808170874781414,2.3,2.375,2.3375
18,3,6,1,dec,0.6,high,3.804596064915156,2.4749999999999996,2.5250000000000004,2.5
18,3,6,1,dec,0.8,high,3.6587772678035178,2.2249999999999996,2.375,2.3
18,3,6,1,dec,0.0,low,3.750615057767828,2.5250000000000004,2.4000000000000004,2.4625
18,3,6,1,dec,0.2,low,3.6701020216637605,2.425,2.55,2.4875
19,6,7,5,inc,0.4,low,4.088169858594968,0.45,0.375,0.4125
19,6,7,5,inc,0.0,low,2.8991516367155152,2.0,1.875,1.9375000000000002
19,6,7,5,inc,0.2,low,2.783113195964992,1.925,1.75,1.8375
19,6,7,5,inc,0.6,high,2.859275766035278,1.1,1.2750000000000001,1.1875
19,6,7,5,inc,0.8,high,2.559468144986371,1.75,2.025,1.8875
20,6,1,2,dec,0.4,low,3.4899964307935,2.5,2.55,2.525
20,6,1,2,dec,0.6,high,3.2837933491664613,2.7,2.525,2.6125
20,6,1,2,dec,0.8,high,3.2372502628706545,2.6500000000000004,2.575,2.6125
20,6,1,2,dec,0.0,low,3.308790260228457,2.375,2.55,2.4625
20,6,1,2,dec,0.2,low,3.292745889357664,2.45,2.475,2.4625
21,7,6,1,inc,0.4,low,2.9497468303951537,2.625,2.525,2.575
21,7,6,1,inc,0.0,low,2.8502559252403006,2.625,2.65,2.6375
21,7,6,1,inc,0.2,low,2.8691124908046874,2.575,2.575,2.5749999999999997
21,7,6,1,inc,0.6,high,2.7824026238115676,2.6999999999999997,2.575,2.6375
21,7,6,1,inc,0.8,high,2.742948556734734,2.5999999999999996,2.6999999999999997,2.6499999999999995
22,5,1,1,dec,0.4,low,3.055738744762929,2.025,2.0,2.0125
22,5,1,1,dec,0.6,high,2.9501509912902835,2.225,2.15,2.1875
22,5,1,1,dec,0.8,high,2.99909536851381,2.3,2.375,2.3375000000000004
22,5,1,1,dec,0.0,low,2.908425404576564,1.8,1.5750000000000002,1.6875
22,5,1,1,dec,0.2,low,2.9368420310648204,2.4,2.4000000000000004,2.4
23,5,5,4,inc,0.4,low,3.8823057337888227,1.625,1.9500000000000002,1.7875
23,5,5,4,inc,0.0,low,3.9535488044902043,1.475,1.75,1.6124999999999998
23,5,5,4,inc,0.2,low,3.7796190721485887,1.775,1.9749999999999999,1.875
23,5,5,4,inc,0.6,high,3.8693859655843696,1.4500000000000002,1.9000000000000001,1.675
23,5,5,4,inc,0.8,high,3.9061578534794297,1.75,1.875,1.8125
24,6,1,3,dec,0.4,low,3.1443972246980096,2.625,2.425,2.525
24,6,1,3,dec,0.6,high,3.0131544372316954,2.475,2.475,2.475
24,6,1,3,dec,0.8,high,3.000034578134847,2.65,2.425,2.5375000000000005
24,6,1,3,dec,0.0,low,2.9508034920222936,2.5,2.575,2.5375
24,6,1,3,dec,0.2,low,2.903579117111998,2.05,2.275,2.1625
