trial_number,alpha_id,traj_id,human_ave,robot_ave,overall_ave,human_total,robot_total,overall_total,human_dim_ave,robot_dim_ave,overall_dim_ave,human_dim_total,robot_dim_total,overall_dim_total
11,5,1,0.03150346649656939,0.02230948571009693,0.03150346649656939,13.105442062572868,9.280746055400323,13.105442062572868,"[0.016435214527868773, 0.015627681119059125, 0.024472315348522268]","[0.0, 0.0, 0.02230948571009693]","[0.016435214527868773, 0.015627681119059125, 0.024472315348522268]","[6.837049243593409, 6.5011153455285955, 10.180483184985263]","[0.0, 0.0, 9.280746055400323]","[6.837049243593409, 6.5011153455285955, 10.180483184985263]"
12,5,2,0.022728571539721396,0.025246027218509284,0.022728571539721396,9.43235718898438,10.477101295681353,9.43235718898438,"[0.02426271361838354, 0.015060516256423724, 0.015239594934552288]","[0.0, 0.0, 0.025246027218509284]","[0.02426271361838354, 0.015060516256423724, 0.015239594934552288]","[10.069026151629169, 6.250114246415845, 6.3244318978392]","[0.0, 0.0, 10.477101295681353]","[10.069026151629169, 6.250114246415845, 6.3244318978392]"
13,5,4,0.01765336109483443,0.024430745429344737,0.01765336109483443,7.343798215451123,10.16319009860741,7.343798215451123,"[0.024153885393919963, 0.007575734818781386, 0.014561177154636024]","[0.0, 0.0, 0.024430745429344737]","[0.024153885393919963, 0.007575734818781386, 0.014561177154636024]","[10.048016323870705, 3.1515056846130567, 6.057449696328586]","[0.0, 0.0, 10.16319009860741]","[10.048016323870705, 3.1515056846130567, 6.057449696328586]"
14,5,5,0.01766284345847072,0.022981845269484304,0.01766284345847072,7.347742878723819,9.56044763210547,7.347742878723819,"[0.022148877955502133, 0.0051727737913579855, 0.01596057008122861]","[0.0, 0.0, 0.022981845269484304]","[0.022148877955502133, 0.0051727737913579855, 0.01596057008122861]","[9.213933229488887, 2.151873897204922, 6.639597153791102]","[0.0, 0.0, 9.56044763210547]","[9.213933229488887, 2.151873897204922, 6.639597153791102]"
15,5,3,0.029417871757989347,0.022774016811153555,0.029417871757989347,12.237834651323569,9.473990993439878,12.237834651323569,"[0.037201392321620404, 0.011530691418759263, 0.024694287843911915]","[0.0, 0.0, 0.022774016811153555]","[0.037201392321620404, 0.011530691418759263, 0.024694287843911915]","[15.475779205794089, 4.7967676302038535, 10.272823743067356]","[0.0, 0.0, 9.473990993439878]","[15.475779205794089, 4.7967676302038535, 10.272823743067356]"
16,4,2,0.01798769178902285,0.025249762842388262,0.013884992769792829,7.482879784233506,10.503901342433517,5.776156992233817,"[0.0276581102576854, 0.010163180780226964, 0.012948846886333965]","[0.0, 0.0, 0.025249762842388262]","[0.02212648820614832, 0.008130544624181568, 0.00955152060867332]","[11.505773867197126, 4.227883204574417, 5.386720304714929]","[0.0, 0.0, 10.503901342433517]","[9.204619093757701, 3.382306563659532, 3.973432573208101]"
17,4,5,0.03130187803098538,0.022981845269484304,0.024066494997791735,13.021581260889919,9.56044763210547,10.011661919081362,"[0.0145216918952096, 0.01341684654203995, 0.02573655010500568]","[0.0, 0.0, 0.022981845269484304]","[0.011617353516167682, 0.010733477233631963, 0.019367002472968124]","[6.0410238284071935, 5.5814081614886195, 10.706404843682364]","[0.0, 0.0, 9.56044763210547]","[4.832819062725756, 4.465126529190896, 8.056673028754739]"
18,4,3,0.02449892866173122,0.0228285870338594,0.02102906091522451,10.167055394618457,9.47386361905165,8.727060279818172,"[0.0212799901398144, 0.011075661348959301, 0.01951576573416928]","[0.0, 0.0, 0.0228285870338594]","[0.017023992111851537, 0.008860529079167446, 0.017397980593477424]","[8.831195908022975, 4.59639945981811, 8.09904277968025]","[0.0, 0.0, 9.47386361905165]","[7.064956726418388, 3.67711956785449, 7.220161946293131]"
19,4,1,0.01666273161545967,0.02230948571009693,0.012498313246247878,6.9316963520312225,9.280746055400323,5.199298310439118,"[0.007206001188495584, 0.011822855307104937, 0.008801554789470506]","[0.0, 0.0, 0.02230948571009693]","[0.005764800950796469, 0.009458284245683943, 0.005703923849079521]","[2.997696494414163, 4.918307807755654, 3.6614467924197305]","[0.0, 0.0, 9.280746055400323]","[2.398157195531331, 3.93464624620452, 2.3728323212170808]"
20,4,4,0.019516489818963857,0.024476515649908395,0.015539008607871175,8.09934327487,10.157753994711983,6.448688572266538,"[0.030635538329722163, 0.006705065829894913, 0.017127192864940157]","[0.0, 0.0, 0.024476515649908395]","[0.024508430663777718, 0.005364052663915931, 0.013667036392842294]","[12.713748406834698, 2.7826023194063887, 7.107785038950166]","[0.0, 0.0, 10.157753994711983]","[10.170998725467753, 2.2260818555251114, 5.671820103029552]"
