trial_number,alpha_id,traj_id,rhythm_id,tempo,ave. error,ave. error (%),ref_times,recorded_times,times_from_start,error_list,errp_list
11,2,3,5,135,0.151646665,17.82031005,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555, 8.88888888888889, 9.333333333333334]","[0.0, 0.3575260639190674, 1.3274288177490234, 1.7024660110473633, 2.9362130165100098, 3.3126776218414307, 4.319357872009277, 4.736010789871216, 5.728457927703857, 6.136284351348877, 7.404826641082764, 7.665220022201538]","[0.9937489032745361, 1.1152987480163574, 1.3512749671936035, 1.4909381866455078, 2.3211777210235596, 2.4289309978485107, 2.6962149143218994, 2.7455029487609863, 3.929961919784546, 4.029454946517944, 4.306426525115967, 4.4128899574279785, 5.3131067752838135, 5.459157705307007, 5.729759693145752, 5.856630325317383, 6.7222068309783936, 6.8287529945373535, 7.130033254623413, 7.263974905014038, 8.3985755443573, 8.479150533676147, 8.658968925476074, 8.767684936523438]","[-0.08691838052537704, -0.3634305795033772, -0.0694072511461048, -0.09958632787068655, -0.06797983911302374, -0.32665308316548636, -0.027791526582506165, -0.34088619550069144, -0.03661802079942511, -0.0647910435994472, -0.18405106332567023]","[-19.55663561820983, -27.25729346275329, -15.616631507873574, -7.468974590301493, -15.295463800430337, -24.49898123741148, -6.2530934810638845, -25.566464662551862, -8.239054679870646, -4.859328269958539, -41.411489248275785]"
12,2,5,5,135,0.149598172,15.99761085,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555, 8.88888888888889, 9.333333333333334]","[0.0, 0.37377262115478516, 1.400597095489502, 1.7685787677764893, 2.9047820568084717, 3.3462023735046387, 4.324014663696289, 4.742183208465576, 5.799197673797607, 6.150717258453369, 7.324317693710327, 7.687753438949585]","[0.6473057270050049, 0.7745101451873779, 1.02107834815979, 1.1520743370056152, 2.047902822494507, 2.1718482971191406, 2.415884494781494, 2.5066096782684326, 3.5520877838134766, 3.690122604370117, 3.9935081005096436, 4.1047523021698, 4.971320390701294, 5.103526592254639, 5.389488935470581, 5.502031564712524, 6.446503400802612, 6.54353928565979, 6.798022985458374, 6.872573375701904, 7.971623420715332, 8.088592767715454, 8.33505916595459, 8.422690868377686, 9.370985507965088, 9.518487215042114, 9.721360206604004, 9.854674816131592]","[-0.07067182328965926, -0.30650885899861646, -0.07646277215745734, -0.19713004430135062, -0.0030241277482776496, -0.35552104314168265, -0.026275899675157532, -0.2763188680013018, -0.09292485978868292, -0.15973289807637592, -0.08100869920518683]","[-15.901160240173335, -22.988164424896233, -17.204123735427892, -14.784753322601299, -0.680428743362471, -26.664078235626203, -5.912077426910442, -20.72391510009764, -20.90809345245365, -11.979967355728188, -18.226957321167028]"
13,0,0,1,115,0.115744825,10.38338704,"[0.0, 0.5217391304347826, 2.0869565217391304, 2.608695652173913, 4.173913043478261, 4.695652173913043, 6.260869565217391, 6.782608695652173, 8.34782608695652, 8.869565217391303]","[0.0, 0.4719967842102051, 1.7024357318878174, 2.2159621715545654, 3.620049476623535, 4.153199195861816, 5.514430284500122, 5.9688520431518555, 7.402760744094849, 7.850682973861694]","[0.5384976863861084, 0.7176015377044678, 1.0104944705963135, 1.1568207740783691, 2.240933418273926, 2.420957088470459, 2.754459857940674, 2.9168975353240967, 4.1585471630096436, 4.323802709579468, 4.691696882247925, 4.8208701610565186, 6.0529279708862305, 6.190769672393799, 6.507349729537964, 6.62417459487915, 7.941258430480957, 8.050142765045166, 8.389180660247803, 8.500861883163452]","[-0.049742346224577516, -0.33477844362673537, -0.008212690768034658, -0.16113008623537795, 0.011410588803498989, -0.203986302666042, -0.06731737178304886, -0.13130869036135362, -0.07381690066793745]","[-9.533949693044026, -21.38862278726365, -1.574099063873309, -10.294422176149148, 2.187029520670641, -13.032458225886018, -12.902496258417706, -8.389166328642043, -14.148239294687995]"
14,1,3,1,115,0.189570556,17.7202809,"[0.0, 0.5217391304347826, 2.0869565217391304, 2.608695652173913, 4.173913043478261, 4.695652173913043, 6.260869565217391, 6.782608695652173, 8.34782608695652, 8.869565217391303]","[0.0, 0.46108579635620117, 1.7167701721191406, 2.137850284576416, 3.366187572479248, 3.800431728363037, 4.999400854110718, 5.4325854778289795, 6.69938588142395, 7.163430213928223]","[0.6591801643371582, 0.7928802967071533, 1.1202659606933594, 1.2262303829193115, 2.375950336456299, 2.4961228370666504, 2.797030448913574, 2.891557455062866, 4.025367736816406, 4.159011602401733, 4.459611892700195, 4.558856010437012, 5.658581018447876, 5.78992486000061, 6.091765642166138, 6.222101926803589, 7.358566045761108, 7.500578165054321, 7.822610378265381, 7.887449026107788, 9.071541547775269, 9.191490650177002, 9.505027770996094, 9.592286109924316]","[-0.06065333407858142, -0.3095330155414082, -0.10065901797750731, -0.33688010340151564, -0.0874949745509932, -0.366248265556667, -0.08855450671652054, -0.2984169877093761, -0.05769479793051069]","[-11.62522236506144, -19.77572043736775, -19.2929784456889, -21.522895495096837, -16.76987012227371, -23.39919474389817, -16.972947120666447, -19.065529770321263, -11.05816960334787]"
15,1,5,1,115,0.232524736,21.07223949,"[0.0, 0.5217391304347826, 2.0869565217391304, 2.608695652173913, 4.173913043478261, 4.695652173913043, 6.260869565217391, 6.782608695652173, 8.34782608695652, 8.869565217391303]","[0.0, 0.4548931121826172, 1.705075740814209, 2.1049656867980957, 3.27136492729187, 3.7382147312164307, 4.841619968414307, 5.225822925567627, 6.311840057373047, 6.7768425941467285]","[0.39606547355651855, 0.5406672954559326, 0.8509585857391357, 0.9654057025909424, 2.1011412143707275, 2.199683427810669, 2.5010311603546143, 2.5842654705047607, 3.6674304008483887, 3.8136367797851562, 4.134280204772949, 4.156697750091553, 5.237685441970825, 5.317399024963379, 5.6218883991241455, 5.666743993759155, 6.707905530929565, 6.821545124053955, 7.172908067703247, 7.220634460449219, 8.405662775039673, 8.517344236373901, 8.788860082626343, 8.88398027420044]","[-0.0668460182521654, -0.3150347626727559, -0.12184918445089599, -0.39881815081057326, -0.054889326510221714, -0.4618121541064717, -0.13753617328146195, -0.47920025949892686, -0.05673659366110151]","[-12.812153498331702, -20.127220948537182, -23.354427019755057, -25.480048524008847, -10.520454247792502, -29.504665401246804, -26.36109987894689, -30.61557213465368, -10.874513785044444]"
16,1,4,1,115,0.214896331,19.05952824,"[0.0, 0.5217391304347826, 2.0869565217391304, 2.608695652173913, 4.173913043478261, 4.695652173913043, 6.260869565217391, 6.782608695652173, 8.34782608695652, 8.869565217391303]","[0.0, 0.47077488899230957, 1.6369917392730713, 2.1035544872283936, 3.320138692855835, 3.732419013977051, 4.956350088119507, 5.374752759933472, 6.470243453979492, 6.935498237609863]","[0.3910024166107178, 0.5262560844421387, 0.8617773056030273, 0.9712135791778564, 2.027994155883789, 2.1576967239379883, 2.4945569038391113, 2.599142074584961, 3.7111411094665527, 3.781369686126709, 4.1234214305877686, 4.213979482650757, 5.347352504730225, 5.463999032974243, 5.7657551765441895, 5.8308680057525635, 6.86124587059021, 6.9980103969573975, 7.326500654220581, 7.3900768756866455, 8.444292783737183, 8.559220552444458, 8.861008644104004, 8.989891052246094]","[-0.050964241442473024, -0.39900054102358595, -0.05517638247946044, -0.34863318567690627, -0.10945880931356644, -0.3412863171618916, -0.10333645862081742, -0.4697266972583263, -0.056484346804412056]","[-9.768146276473995, -25.491701232062436, -10.575473308563248, -22.273786862691235, -20.979605118433582, -21.80440359645419, -19.806154568990017, -30.010316769281975, -10.826166470845633]"
17,1,2,1,115,0.146225767,14.06412485,"[0.0, 0.5217391304347826, 2.0869565217391304, 2.608695652173913, 4.173913043478261, 4.695652173913043, 6.260869565217391, 6.782608695652173, 8.34782608695652, 8.869565217391303]","[0.0, 0.44953298568725586, 1.8205058574676514, 2.2699904441833496, 3.5540411472320557, 3.982870101928711, 5.338945627212524, 5.77022647857666, 7.036552667617798, 7.553533315658569]","[0.5965063571929932, 0.7344903945922852, 1.046039342880249, 1.1486084461212158, 2.4170122146606445, 2.5665040016174316, 2.8664968013763428, 2.979764461517334, 4.150547504425049, 4.291060447692871, 4.579376459121704, 4.679298400878906, 5.935451984405518, 6.1010901927948, 6.366732835769653, 6.466638565063477, 7.633059024810791, 7.749218940734863, 8.150039672851562, 8.245984554290771, 9.395727157592773, 9.557845115661621, 9.878806591033936, 9.950194120407104]","[-0.07220614474752673, -0.19424451952395216, -0.07225454371908446, -0.2811666882556416, -0.09291017573812699, -0.2091418660205342, -0.09045827907064652, -0.2988912022632091, -0.004758482394011665]","[-13.83951107660929, -12.410066525141389, -13.848787546157853, -17.96342730522155, -17.807783683141018, -13.361841440200797, -17.33783682187393, -19.095826811260594, -0.9120424588522349]"
18,1,1,1,115,0.08872201,9.496131061,"[0.0, 0.5217391304347826, 2.0869565217391304, 2.608695652173913, 4.173913043478261, 4.695652173913043, 6.260869565217391, 6.782608695652173, 8.34782608695652, 8.869565217391303]","[0.0, 0.49466824531555176, 1.8521125316619873, 2.327360153198242, 3.9604551792144775, 4.394834518432617, 5.856689691543579, 6.310438394546509, 7.7257795333862305, 8.206822395324707]","[0.8808269500732422, 1.0422394275665283, 1.375495195388794, 1.500471591949463, 2.7329394817352295, 2.8577747344970703, 3.2081871032714844, 3.325977087020874, 4.84128212928772, 4.990826368331909, 5.275661468505859, 5.391283750534058, 6.737516641616821, 6.858144760131836, 7.191265344619751, 7.324671030044556, 8.606606483459473, 8.719469785690308, 9.08764934539795, 9.191765308380127]","[-0.027070885119230836, -0.20777310495791212, -0.04649150889852782, 0.06787763471188768, -0.08735979121664261, -0.10336221819338576, -0.06799042743185257, -0.1498762524646251, -0.04069626849630659]","[-5.1885863145192435, -13.274392816755498, -8.910872538884497, 4.33662666214838, -16.743959983189846, -6.603697273466313, -13.031498591105084, -9.575427240795499, -7.800118128458755]"
19,0,0,4,130,0.198481122,17.71129105,"[0.0, 0.46153846153846156, 1.8461538461538463, 2.307692307692308, 3.6923076923076925, 4.153846153846154, 5.538461538461538, 6.0, 7.384615384615385, 7.846153846153847]","[0.0, 0.395888090133667, 1.4005532264709473, 1.8498106002807617, 2.9662728309631348, 3.3348586559295654, 4.216766119003296, 4.652782678604126, 5.612263917922974, 6.059823751449585]","[0.5812959671020508, 0.7169191837310791, 0.9771840572357178, 1.0983312129974365, 1.981849193572998, 2.114177703857422, 2.4311065673828125, 2.5439939498901367, 3.5475687980651855, 3.645979881286621, 3.916154623031616, 4.048048257827759, 4.798062086105347, 4.9300549030303955, 5.234078645706177, 5.360356330871582, 6.193559885025024, 6.331420660018921, 6.641119718551636, 6.763468503952026]","[-0.06565037140479457, -0.3799502482781043, -0.012281087728647222, -0.26815315393301153, -0.09295263657203101, -0.5027079215416537, -0.025521901937631597, -0.42513414529653737, -0.013978628011850347]","[-14.22424713770549, -27.44085126452976, -2.660902341206897, -19.366616672939724, -20.139737923940046, -36.306683222452776, -5.529745419820178, -30.70413271586102, -3.0287027359009078]"
20,5,5,4,130,0.178018303,16.89854126,"[0.0, 0.46153846153846156, 1.8461538461538463, 2.307692307692308, 3.6923076923076925, 4.153846153846154, 5.538461538461538, 6.0, 7.384615384615385, 7.846153846153847, 9.230769230769232, 9.692307692307693]","[0.0, 0.3841969966888428, 1.550502061843872, 1.984482765197754, 3.104097843170166, 3.5671703815460205, 4.554475784301758, 4.955648183822632, 6.000272035598755, 6.400303363800049, 7.3551177978515625, 7.7371745109558105]","[0.347165584564209, 0.46968507766723633, 0.7313625812530518, 0.8430886268615723, 1.897667646408081, 2.019395112991333, 2.331648349761963, 2.442972421646118, 3.451263427734375, 3.5933797359466553, 3.9143359661102295, 4.027904272079468, 4.901641368865967, 5.050754070281982, 5.302813768386841, 5.402184963226318, 6.347437620162964, 6.467728614807129, 6.747468948364258, 6.835683584213257, 7.7022833824157715, 7.8351523876190186, 8.08434009552002, 8.201299667358398, 8.951047897338867, 9.08066201210022, 9.317983627319336, 9.434834241867065]","[-0.07734146484961879, -0.21831031946035528, -0.02755775818457984, -0.26500030664297247, 0.001534076837392817, -0.39730998185964683, -0.06036606201758765, -0.339991532839262, -0.06150713333716773, -0.42980095056387135, -0.07948174843421363]","[-16.757317384084068, -15.766856405470103, -5.970847606658963, -19.13891103532579, 0.33238331476844357, -28.6946098009745, -13.079313437143988, -24.554944038391135, -13.326545556386337, -31.041179762946253, -17.221045494079615]"
21,5,2,4,130,0.15183984,15.28592639,"[0.0, 0.46153846153846156, 1.8461538461538463, 2.307692307692308, 3.6923076923076925, 4.153846153846154, 5.538461538461538, 6.0, 7.384615384615385, 7.846153846153847, 9.230769230769232, 9.692307692307693]","[0.0, 0.4563915729522705, 1.740307331085205, 2.1557295322418213, 3.188319683074951, 3.5894579887390137, 4.652356863021851, 5.085054636001587, 6.235384464263916, 6.604360580444336, 7.656427621841431, 8.022069454193115]","[0.42475318908691406, 0.5619781017303467, 0.8811447620391846, 0.9976294040679932, 2.165060520172119, 2.293525457382202, 2.5804827213287354, 2.721874237060547, 3.6130728721618652, 3.7482011318206787, 4.014211177825928, 4.1305694580078125, 5.077110052108765, 5.214936256408691, 5.509807825088501, 5.621037006378174, 6.66013765335083, 6.763864755630493, 7.02911376953125, 7.143178701400757, 8.081180810928345, 8.196528196334839, 8.44682264328003, 8.563579082489014]","[-0.005146888586191056, -0.10069962648245001, -0.046116260381845464, -0.3520252337822547, -0.060400155874399175, -0.3217165103325472, -0.028840688558725347, -0.23428555635305592, -0.09256234535804175, -0.3325483432182903, -0.0958966291867771]","[-1.1151591936747287, -7.272750801510279, -9.991856416066515, -25.42404466205173, -13.08670043945315, -23.235081301795084, -6.24881585439049, -16.920623514387366, -20.05517482757571, -24.01738034354318, -20.777602990468367]"
