trial_number,alpha_id,traj_id,human_ave,overall_ave,human_total,overall_total,human_dim_ave,overall_dim_ave,human_dim_total,overall_dim_total
11,4,3,0.021063261429647557,0.016850609143718043,8.762316754733384,7.009853403786706,"[0.025219071665069853, 0.009905564216444195, 0.01689908669053136]","[0.020175257332055864, 0.007924451373155367, 0.013519269352425079]","[10.491133812669059, 4.120714714040785, 7.030020063261046]","[8.39290705013524, 3.2965717712326326, 5.624016050608833]"
12,4,1,0.028483709266568347,0.02278696741325466,11.820739345625864,9.456591476500684,"[0.03913759299846495, 0.01828893676887492, 0.019714214953730186]","[0.03131007439877197, 0.014631149415099938, 0.015771371962984147]","[16.242101094362955, 7.589908759083092, 8.181399205798026]","[12.993680875490366, 6.071927007266474, 6.545119364638421]"
13,4,2,0.019968611884832115,0.015974889507865696,8.286973932205328,6.629579145764263,"[0.040581589750961086, 0.011453449100254951, 0.014514537532049248]","[0.032465271800768886, 0.009162759280203953, 0.011611630025639407]","[16.841359746648852, 4.753181376605805, 6.0235330758004375]","[13.473087797319089, 3.802545101284641, 4.818826460640354]"
14,4,4,0.030125103490476035,0.024100082792380816,12.53204305203803,10.02563444163042,"[0.04741508229806469, 0.018383338658465878, 0.022738599893497344]","[0.03793206583845171, 0.0147066709267727, 0.0181908799147979]","[19.72467423599491, 7.647468881921805, 9.459257555694895]","[15.779739388795912, 6.117975105537443, 7.567406044555927]"
15,4,5,0.019463294116419196,0.01557063529313536,8.096730352430386,6.47738428194431,"[0.032101406590758996, 0.013678039500159004, 0.01307244227539639]","[0.02568112527260718, 0.010942431600127221, 0.01045795382031711]","[13.354185141755742, 5.690064432066146, 5.438135986564898]","[10.683348113404586, 4.552051545652924, 4.350508789251918]"
16,5,4,0.01887987307854907,0.01887987307854907,7.835147327597864,7.835147327597864,"[0.018854546359755482, 0.012085583242420041, 0.013290492326418778]","[0.018854546359755482, 0.012085583242420041, 0.013290492326418778]","[7.824636739298525, 5.015517045604317, 5.515554315463793]","[7.824636739298525, 5.015517045604317, 5.515554315463793]"
17,5,3,0.015823746530369335,0.015823746530369335,6.5668548101032735,6.5668548101032735,"[0.02233118001389041, 0.006376058027227452, 0.013170406823246338]","[0.02233118001389041, 0.006376058027227452, 0.013170406823246338]","[9.26743970576452, 2.6460640812993925, 5.46571883164723]","[9.26743970576452, 2.6460640812993925, 5.46571883164723]"
18,5,5,0.0167762639495546,0.0167762639495546,6.9789258030147145,6.9789258030147145,"[0.005616138508619447, 0.007652418207840174, 0.013537773072266248]","[0.005616138508619447, 0.007652418207840174, 0.013537773072266248]","[2.33631361958569, 3.1834059744615124, 5.631713598062759]","[2.33631361958569, 3.1834059744615124, 5.631713598062759]"
19,5,1,0.020060162857884572,0.020060162857884572,8.324967586022098,8.324967586022098,"[0.009103687419642228, 0.010012263284377619, 0.015404490706920985]","[0.009103687419642228, 0.010012263284377619, 0.015404490706920985]","[3.7780302791515243, 4.155089263016712, 6.392863643372209]","[3.7780302791515243, 4.155089263016712, 6.392863643372209]"
20,5,2,0.01569193810747687,0.01569193810747687,6.527846252710378,6.527846252710378,"[0.025456868406189957, 0.010567590896996755, 0.009656665956029252]","[0.025456868406189957, 0.010567590896996755, 0.009656665956029252]","[10.590057256975022, 4.39611781315065, 4.017173037708169]","[10.590057256975022, 4.39611781315065, 4.017173037708169]"
21,1,1,0.023937075750410472,0.004787415150082097,9.957823512170757,1.991564702434152,"[0.009790554607297493, 0.013985783313101286, 0.015242985428722444]","[0.0019581109214594984, 0.002797156662620262, 0.003048597085744485]","[4.072870716635757, 5.818085858250135, 6.341081938348537]","[0.8145741433271513, 1.163617171650029, 1.2682163876697057]"
22,1,4,0.028904437038889993,0.005780887407777999,12.024245808178238,2.4048491616356475,"[0.010207214498697468, 0.015234621979294585, 0.02219164549985878]","[0.0020414428997394926, 0.0030469243958589185, 0.00443832909997176]","[4.246201231458147, 6.337602743386547, 9.231724527941251]","[0.8492402462916289, 1.26752054867731, 1.846344905588252]"
23,1,5,0.03856119775576464,0.00771223955115293,16.041458266398088,3.208291653279619,"[0.033694499040516815, 0.027369230241211222, 0.0232664863158958]","[0.006738899808103359, 0.005473846048242246, 0.004653297263179155]","[14.016911600854995, 11.385599780343869, 9.678858307412652]","[2.8033823201709973, 2.2771199560687743, 1.9357716614825287]"
24,1,3,0.05394814934960072,0.010789629869920147,22.442430129433898,4.488486025886781,"[0.014121981655012803, 0.03290374245185863, 0.033451323512087]","[0.002824396331002557, 0.006580748490371739, 0.006690264702417397]","[5.874744368485326, 13.68795685997319, 13.915750581028192]","[1.1749488736970637, 2.737591371994643, 2.783150116205637]"
25,1,2,0.02953580356108128,0.0059071607122162615,12.286894281409813,2.4573788562819647,"[0.017266614836812858, 0.013672904794297381, 0.023708353553801107]","[0.0034533229673625737, 0.0027345809588594752, 0.0047416707107602206]","[7.182911772114149, 5.68792839442771, 9.86267507838126]","[1.4365823544228307, 1.1375856788855416, 1.9725350156762518]"
26,2,2,0.021249792910054018,0.008499917164021613,8.797414264762363,3.518965705904948,"[0.013964977932460937, 0.011920272059580734, 0.015189093961404845]","[0.00558599117298437, 0.004768108823832298, 0.006075637584561931]","[5.7815008640388275, 4.9349926326664235, 6.288284900021606]","[2.3126003456155293, 1.9739970530665711, 2.5153139600086396]"
27,2,1,0.032299467717164985,0.012919787086865977,13.436578570340634,5.374631428136246,"[0.034305359492801085, 0.026897847226310834, 0.014071911697331704]","[0.013722143797120428, 0.010759138890524335, 0.005628764678932684]","[14.27102954900525, 11.189504446145307, 5.853915266089989]","[5.708411819602098, 4.475801778458123, 2.3415661064359967]"
28,2,4,0.036175188434555,0.014470075373822016,15.048878388774881,6.019551355509958,"[0.026984568934327227, 0.022274974266923448, 0.02573835863275651]","[0.010793827573730892, 0.008909989706769381, 0.010295343453102604]","[11.225580676680126, 9.266389295040154, 10.707157191226708]","[4.490232270672051, 3.7065557180160624, 4.282862876490683]"
29,2,3,0.022673937432633354,0.009069574973053347,9.432357971975476,3.772943188790192,"[0.034684971663752555, 0.011205263743794516, 0.01781710563760078]","[0.01387398866550104, 0.004482105497517803, 0.007126842255040298]","[14.428948212121064, 4.661389717418518, 7.411915945241925]","[5.771579284848433, 1.8645558869674062, 2.964766378096764]"
