trial_number,alpha_id,traj_id,rhythm_id,tempo,ave. error,ave. error (%),ref_times,recorded_times,times_from_start,error_list,errp_list
11,2,2,3,125,0.173590097,15.64595037,"[0.0, 0.48, 1.92, 2.4, 3.84, 4.32, 5.76, 6.24, 7.68, 8.16, 9.6]","[0.0, 0.448089599609375, 1.5472402572631836, 2.015859603881836, 3.1986825466156006, 3.6472394466400146, 4.930392503738403, 5.297628402709961, 6.354745626449585, 6.763685941696167, 7.864099025726318]","[0.48909711837768555, 0.5840928554534912, 0.9371867179870605, 1.050546407699585, 2.036337375640869, 2.137634754180908, 2.5049567222595215, 2.620640993118286, 3.687779664993286, 3.8034329414367676, 4.1363365650177, 4.252141237258911, 5.419489622116089, 5.526590824127197, 5.7867255210876465, 5.916922092437744, 6.8438427448272705, 6.952243804931641, 7.2527830600738525, 7.35163688659668, 8.353196144104004, 8.468558311462402, 8.762189388275146, 8.87026834487915, 9.85011625289917, 9.964234352111816, 10.218745231628418]","[-0.03191040039062498, -0.34084934234619135, -0.011380653381347638, -0.2571770572662353, -0.031443099975586364, -0.15684694290161083, -0.11276410102844281, -0.3828827762603755, -0.0710596847534184, -0.33958691596984814]","[-6.648000081380205, -23.670093218485512, -2.3709694544474247, -17.859517865710785, -6.550645828247154, -10.892148812611866, -23.49252104759223, -26.589081684748304, -14.804100990295485, -23.58242472012835]"
12,2,3,3,125,0.183101385,16.03565706,"[0.0, 0.48, 1.92, 2.4, 3.84, 4.32, 5.76, 6.24, 7.68, 8.16, 9.6]","[0.0, 0.4317626953125, 1.5731022357940674, 2.0435848236083984, 3.1771786212921143, 3.661076307296753, 4.687295198440552, 5.081045627593994, 6.240110874176025, 6.811269283294678, 7.9590983390808105]","[0.34515905380249023, 0.45188355445861816, 0.7769217491149902, 0.8884878158569336, 1.9182612895965576, 2.049492120742798, 2.3887438774108887, 2.5295116901397705, 3.5223376750946045, 3.6574361324310303, 4.006235361099243, 4.118974924087524, 5.032454252243042, 5.139546871185303, 5.426204681396484, 5.540195941925049, 6.585269927978516, 6.673187017440796, 7.156428337097168, 7.256053686141968, 8.3042573928833, 8.438217639923096, 8.680736303329468, 8.769849061965942, 9.62059211730957, 9.73703408241272, 10.053999900817871, 10.168635606765747]","[-0.04823730468749998, -0.29866045951843256, -0.009517412185668928, -0.3064062023162841, 0.0038976860046382455, -0.4137811088562007, -0.08624957084655804, -0.28093475341796825, 0.09115840911865192, -0.2921709442138667]","[-10.049438476562496, -20.74030968878004, -1.9827942053476932, -21.278208494186398, 0.8120179176329672, -28.73479922612506, -17.968660593032908, -19.5093578762478, 18.991335233052467, -20.28964890374075]"
13,0,0,1,115,0.171682434,19.21970094,"[0.0, 0.5217391304347826, 2.0869565217391304, 2.608695652173913, 4.173913043478261, 4.695652173913043, 6.260869565217391, 6.782608695652173, 8.34782608695652, 8.869565217391303]","[0.0, 0.43519115447998047, 1.699507236480713, 2.1434426307678223, 3.5221922397613525, 3.8687150478363037, 5.273217439651489, 5.658067941665649, 6.9073920249938965, 7.324423313140869]","[1.3563227653503418, 1.4146099090576172, 1.7915139198303223, 1.881131887435913, 3.0558300018310547, 3.167052984237671, 3.499765396118164, 3.59775972366333, 4.878515005111694, 4.960125684738159, 5.2250378131866455, 5.34285044670105, 6.629540205001831, 6.747338533401489, 7.014390707015991, 7.1287407875061035, 8.263714790344238, 8.380682706832886, 8.680746078491211, 8.796375513076782]","[-0.08654797595480213, -0.30090130930361525, -0.07780373614767333, -0.1864677823108174, -0.1752163223598311, -0.16071499948916212, -0.1368886284206221, -0.3158933079760997, -0.1047078422878105]","[-16.588362058003742, -19.224250316619866, -14.912382761637385, -11.913219425413335, -33.58312845230098, -10.267902745140915, -26.236987113952587, -20.182072454028607, -20.069003105163656]"
14,1,4,1,115,0.228533821,21.37337187,"[0.0, 0.5217391304347826, 2.0869565217391304, 2.608695652173913, 4.173913043478261, 4.695652173913043, 6.260869565217391, 6.782608695652173, 8.34782608695652, 8.869565217391303]","[0.0, 0.44741320610046387, 1.6464672088623047, 2.0161185264587402, 3.2797417640686035, 3.727748155593872, 4.780585527420044, 5.247283458709717, 6.412860631942749, 6.812760829925537]","[0.4304986000061035, 0.5316736698150635, 0.8779118061065674, 0.9902739524841309, 2.076965808868408, 2.19002628326416, 2.4466171264648438, 2.5566556453704834, 3.710240364074707, 3.7899599075317383, 4.158246755599976, 4.252649545669556, 5.2110841274261475, 5.3260297775268555, 5.67778205871582, 5.774484872817993, 6.8433592319488525, 6.9409778118133545, 7.243259429931641, 7.3261802196502686, 8.27589464187622, 8.39343810081482, 8.744593620300293, 8.858923435211182, 9.772749900817871, 9.87772512435913, 10.125598192214966]","[-0.07432592433431873, -0.36616338854250685, -0.15208781283834716, -0.3015941536944844, -0.0737327389095137, -0.5123800194781758, -0.05504119914510941, -0.39964021807131456, -0.12183893245199506]","[-14.245802164077755, -23.393772045771275, -29.150164127349864, -19.268515374925393, -14.132108290990136, -32.735390133327904, -10.54956316947931, -25.532569487889557, -23.352462053299032]"
15,1,2,1,115,0.200731089,19.45233198,"[0.0, 0.5217391304347826, 2.0869565217391304, 2.608695652173913, 4.173913043478261, 4.695652173913043, 6.260869565217391, 6.782608695652173, 8.34782608695652, 8.869565217391303]","[0.0, 0.4394185543060303, 1.5588173866271973, 2.0088212490081787, 3.209052801132202, 3.6084673404693604, 4.835590839385986, 5.253839015960693, 6.6282057762146, 7.062985420227051]","[0.42043495178222656, 0.5079159736633301, 0.8598535060882568, 0.9505918025970459, 1.9792523384094238, 2.0921566486358643, 2.4292562007904053, 2.541421413421631, 3.6294877529144287, 3.7159321308135986, 4.028902292251587, 4.116466760635376, 5.256025791168213, 5.348036050796509, 5.67427396774292, 5.782617807388306, 7.048640727996826, 7.131319284439087, 7.483420372009277, 7.578808069229126, 8.761933326721191, 8.850720643997192, 9.243157386779785, 9.348483085632324]","[-0.08232057612875232, -0.4458185589831807, -0.07173526805380126, -0.36498583918032423, -0.12232459109762406, -0.3380938923877217, -0.10349095386007523, -0.19085063105044053, -0.08695948642233198]","[-15.778110424677527, -28.48285237948099, -13.749259710311906, -23.318539725409607, -23.445546627044628, -21.60044312477111, -19.83576615651443, -12.193234761555932, -16.66723489761361]"
16,1,5,1,115,0.135708644,18.05641158,"[0.0, 0.5217391304347826, 2.0869565217391304, 2.608695652173913, 4.173913043478261, 4.695652173913043, 6.260869565217391, 6.782608695652173, 8.34782608695652, 8.869565217391303]","[0.0, 0.4763798713684082, 1.832446575164795, 2.3007991313934326, 3.817950487136841, 4.249833345413208, 5.646061182022095, 6.183838844299316, 7.614995241165161, 8.593204259872437]","[0.618354320526123, 0.7133738994598389, 1.0947341918945312, 1.2115998268127441, 2.450800895690918, 2.5355350971221924, 2.9191534519195557, 3.0176053047180176, 4.436304807662964, 4.517780303955078, 4.868187665939331, 4.967537879943848, 6.264415502548218, 6.394137859344482, 6.8021931648254395, 6.90189790725708, 8.233349561691284, 8.346391439437866, 9.21155858039856, 9.353209257125854, 10.02918004989624, 10.134877443313599]","[-0.04535925906637439, -0.20915068750796095, -0.05338657420614501, -0.04806603556093947, -0.08985627215841507, -0.16898955469546095, 0.01603853184243942, -0.13406099443850206, 0.45646988827249224]","[-8.69385798772176, -13.36240503523084, -10.232426722844458, -3.070885605282244, -17.222452163696232, -10.796554883321118, 3.074051936467557, -8.565007978015416, 87.49006191889426]"
17,1,3,1,115,0.219764388,18.10931887,"[0.0, 0.5217391304347826, 2.0869565217391304, 2.608695652173913, 4.173913043478261, 4.695652173913043, 6.260869565217391, 6.782608695652173, 8.34782608695652, 8.869565217391303]","[0.0, 0.4048130512237549, 1.5072355270385742, 1.9714524745941162, 3.2041985988616943, 3.6364099979400635, 4.891899108886719, 5.3920207023620605, 6.370939254760742, 6.891685724258423]","[-0.27092838287353516, 0.022937297821044922, 0.13388466835021973, 1.1365156173706055, 1.236307144165039, 1.569927453994751, 1.700524091720581, 2.836679697036743, 2.933270215988159, 3.252450704574585, 3.3654816150665283, 4.5167646408081055, 4.620970726013184, 5.013400316238403, 5.121092319488525, 6.002401113510132, 6.100010871887207, 6.5333311557769775, 6.620757341384888, 7.555801868438721, 7.653040170669556, 8.069328546524048, 8.176862001419067, 8.93289303779602, 9.052231311798096, 9.413742303848267, 9.501495122909546]","[-0.11692607921102771, -0.46279491548952834, -0.05752218287924071, -0.33247126703676955, -0.08952773135641312, -0.3097282803576924, -0.021617536959440464, -0.5862988389056651, -0.0009926609371024853]","[-22.41083184878031, -29.5674529340532, -11.025085051854468, -21.241219838460278, -17.159481843312527, -19.788195689519238, -4.143361250559425, -37.45798137452863, -0.19026001294464281]"
18,1,1,1,115,0.208214966,17.11467983,"[0.0, 0.5217391304347826, 2.0869565217391304, 2.608695652173913, 4.173913043478261, 4.695652173913043, 6.260869565217391, 6.782608695652173, 8.34782608695652, 8.869565217391303]","[0.0, 0.4688842296600342, 1.856144666671753, 2.290522336959839, 3.508953094482422, 4.033227443695068, 5.107778310775757, 5.506711721420288, 6.481905937194824, 7.00658917427063]","[0.25774049758911133, 0.36791014671325684, 0.7266247272491455, 0.8311095237731934, 2.1138851642608643, 2.244812488555908, 2.54826283454895, 2.661634922027588, 3.766693592071533, 3.8784213066101074, 4.29096794128418, 4.431148529052734, 5.365518808364868, 5.4613196849823, 5.764452219009399, 5.8776631355285645, 6.7396464347839355, 6.8638434410095215, 7.264329671859741, 7.39772891998291, 8.447612762451172, 8.565975189208984, 8.883087873458862, 8.997577428817749]","[-0.052854900774748415, -0.17795695429262892, -0.08736146014669677, -0.34678663378176466, 0.0025352187778642232, -0.4906665242236592, -0.12280571979025101, -0.5900231755298107, 0.0029441066410225147]","[-10.130522648493447, -11.36947207980685, -16.744279861450213, -22.155812713834965, 0.48591693242397643, -31.348139047622674, -23.537762959798126, -37.69592510329348, 0.5642871061959814]"
19,0,0,2,120,0.161102189,20.34135041,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5, 8.0, 8.5]","[0.0, 0.37737202644348145, 1.7287609577178955, 2.113539934158325, 3.5334818363189697, 3.8882431983947754, 5.09164023399353, 5.460704803466797, 6.684138536453247, 7.050080299377441]","[0.05536055564880371, 0.17895245552062988, 0.43273258209228516, 0.5190033912658691, 1.7841215133666992, 1.8683292865753174, 2.168900489807129, 2.2591540813446045, 3.5888423919677734, 3.6921446323394775, 3.943603754043579, 4.037265300750732, 5.147000789642334, 5.240443229675293, 5.516065359115601, 5.638404130935669, 6.739499092102051, 6.821736097335815, 7.105440855026245, 7.221293210983276]","[-0.12262797355651855, -0.14861106872558594, -0.11522102355957031, -0.08005809783935547, -0.14523863792419434, -0.2966029644012451, -0.1309354305267334, -0.2765662670135498, -0.13405823707580566]","[-24.52559471130371, -9.90740458170573, -23.044204711914062, -5.337206522623697, -29.047727584838867, -19.773530960083008, -26.18708610534668, -18.437751134236656, -26.811647415161133]"
20,5,1,2,120,0.245668244,22.4988699,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5, 8.0, 8.5, 10.0]","[0.0, 0.4053001403808594, 1.5395183563232422, 2.1189627647399902, 3.2224464416503906, 3.8386363983154297, 5.054114103317261, 5.6059770584106445, 6.706186771392822, 7.089309930801392, 8.038312196731567]","[0.3344902992248535, 0.4201369285583496, 0.7397904396057129, 0.8532655239105225, 1.8740086555480957, 1.9733872413635254, 2.4534530639648438, 2.5320563316345215, 3.556936740875244, 3.6696484088897705, 4.173126697540283, 4.254910469055176, 5.388604402542114, 5.473661661148071, 5.940467357635498, 5.9862380027771, 7.040677070617676, 7.122421026229858, 7.423800230026245, 7.506336212158203, 8.372802495956421, 8.418356895446777, 9.056043148040771, 9.106853008270264, 9.986341953277588, 10.007402420043945]","[-0.09469985961914062, -0.3657817840576172, 0.07944440841674805, -0.3965163230895996, 0.11618995666503906, -0.28452229499816895, 0.05186295509338379, -0.39979028701782227, -0.11687684059143066, -0.5509977340698242]","[-18.939971923828125, -24.385452270507812, 15.88888168334961, -26.43442153930664, 23.237991333007812, -18.96815299987793, 10.372591018676758, -26.652685801188152, -23.375368118286133, -36.73318227132161]"
21,5,3,2,120,0.251745582,22.51005332,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5, 8.0, 8.5, 10.0]","[0.0, 0.3607137203216553, 1.836106300354004, 2.265576124191284, 3.2867071628570557, 3.739208698272705, 4.826473951339722, 5.253150939941406, 6.201063632965088, 6.60217547416687, 7.482544183731079]","[0.3163166046142578, 0.43836498260498047, 0.6770303249359131, 0.7869861125946045, 2.1524229049682617, 2.2650861740112305, 2.581892728805542, 2.6806695461273193, 3.6030237674713135, 3.6825644969940186, 4.055525302886963, 4.135026693344116, 5.1427905559539795, 5.238271236419678, 5.569467544555664, 5.65598201751709, 6.517380237579346, 6.61510157585144, 6.918492078781128, 7.031841993331909, 7.798860788345337, 7.911492586135864, 8.310503005981445, 8.38649582862854, 9.251339197158813, 9.351100206375122, 9.618946552276611, 9.735058069229126]","[-0.13928627967834473, -0.024607419967651367, -0.07053017616271973, -0.4788689613342285, -0.047498464584350586, -0.4127347469329834, -0.07332301139831543, -0.5520873069763184, -0.09888815879821777, -0.619631290435791]","[-27.857255935668945, -1.640494664510091, -14.106035232543945, -31.924597422281902, -9.499692916870117, -27.515649795532227, -14.664602279663086, -36.80582046508789, -19.777631759643555, -41.308752695719406]"
