trial_number,alpha_id,traj_id,rhythm_id,tempo,ave. error,ave. error (%),ref_times,recorded_times,times_from_start,error_list,errp_list
11,5,3,2,120,0.11981558799743652,10.588754018147785,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5, 8.0, 8.5, 10.0]","[0.0, 0.5443406105041504, 2.208132743835449, 2.6566121578216553, 4.112183570861816, 4.609248638153076, 6.288305997848511, 6.832437992095947, 8.192709922790527, 8.640559434890747, 9.664488315582275]","[0.2787137031555176, 0.4707825183868408, 0.8230555057525635, 0.918729305267334, 2.486846923828125, 2.5988638401031494, 2.9353268146514893, 3.0308823585510254, 4.390897750854492, 4.51890754699707, 4.8879618644714355, 4.982943773269653, 6.5670201778411865, 6.679529190063477, 7.111152648925781, 7.206990957260132, 8.47142481803894, 8.58303713798523, 8.919273376464844, 9.0310640335083, 9.94320297241211, 10.11931037902832]","[0.04434061050415039, 0.16379213333129883, -0.051520586013793945, -0.04442858695983887, -0.0029349327087402344, 0.17905735969543457, 0.04413199424743652, -0.13972806930541992, -0.05215048789978027, -0.4760711193084717]","[8.868122100830078, 10.919475555419922, -10.304117202758789, -2.961905797322591, -0.5869865417480469, 11.937157313028973, 8.826398849487305, -9.315204620361328, -10.430097579956055, -31.738074620564777]"
12,5,2,2,120,0.11516269048055013,15.682358211941189,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5, 8.0, 8.5]","[0.0, 0.4643056392669678, 2.128114938735962, 2.928950786590576, 4.352575063705444, 4.752227306365967, 6.208874702453613, 6.67240309715271, 8.385002613067627, 8.8180251121521]","[0.22281479835510254, 0.3668081760406494, 0.6871216297149658, 0.8000919818878174, 2.3509299755096436, 2.479780912399292, 3.151766061782837, 3.2629826068878174, 4.575390100479126, 4.670980930328369, 4.975043058395386, 5.055036783218384, 6.431689977645874, 6.527220726013184, 6.895218849182129, 6.975185871124268, 8.607816457748413, 8.703305721282959, 9.040840864181519, 9.136311292648315]","[-0.03569436073303223, 0.16380929946899414, 0.30083584785461426, -0.07637572288513184, -0.10034775733947754, -0.043352603912353516, -0.03647160530090332, 0.212599515914917, -0.06697750091552734]","[-7.138872146606445, 10.92061996459961, 60.16716957092285, -5.091714859008789, -20.069551467895508, -2.8901735941569013, -7.294321060180664, 14.173301060994467, -13.395500183105469]"
13,4,0,1,115,0.11481509001358682,14.367908018606673,"[0.0, 0.5217391304347826, 2.0869565217391304, 2.608695652173913, 4.173913043478261, 4.695652173913043, 6.260869565217391, 6.782608695652173, 8.34782608695652, 8.869565217391303]","[0.0, 0.7519893646240234, 2.240006923675537, 2.8159778118133545, 4.160032272338867, 4.78428316116333, 6.448263883590698, 7.0241968631744385, 8.448537111282349, 9.024421215057373]","[-0.5633106231689453, 0.06048107147216797, 0.18868017196655273, 1.5328047275543213, 1.6766958236694336, 2.108816623687744, 2.2526679039001465, 3.4527058601379395, 3.5967226028442383, 4.09299111366272, 4.220973253250122, 5.741130352020264, 5.884954214096069, 6.349097967147827, 6.460887432098389, 7.757139444351196, 7.885227203369141, 8.333189249038696, 8.461111783981323, 9.885416269302368]","[0.23025023418924084, -0.077199832252834, 0.05423175770303468, -0.22116293077883498, 0.10251175838968063, 0.09876333112302049, 0.05419384914895797, -0.14087714319643663, 0.054144973340241265]","[44.131294886271164, -4.932211505042173, 10.394420226414978, -14.129853910870013, 19.648087024688802, 6.3098794884151985, 10.387154420216952, -9.000484148661235, 10.377786556879565]"
14,4,2,1,115,0.07099510736511505,6.403591161892716,"[0.0, 0.5217391304347826, 2.0869565217391304, 2.608695652173913, 4.173913043478261, 4.695652173913043, 6.260869565217391, 6.782608695652173, 8.34782608695652, 8.869565217391303]","[0.0, 0.5441493988037109, 1.8881986141204834, 2.4325149059295654, 3.8083250522613525, 4.320356845855713, 5.90479850769043, 6.449060440063477, 7.936679124832153, 8.512758255004883]","[0.33366894721984863, 0.5256557464599609, 0.8778183460235596, 1.0219964981079102, 2.221867322921753, 2.3658993244171143, 2.7661824226379395, 2.8806235790252686, 4.141994476318359, 4.2700276374816895, 4.65402626991272, 4.76667332649231, 6.238465785980225, 6.350320816040039, 6.782727956771851, 6.895174741744995, 8.270347356796265, 8.398412466049194, 8.846426486968994, 8.942408561706543]","[0.022410268368928343, -0.2211681759875752, 0.022577161374299326, -0.18940724497256056, -0.00970733684042191, 0.019224270530369125, 0.022522801938264614, -0.07759870653567003, 0.05433999973794634]","[4.295301437377932, -14.130189021428418, 4.32728926340737, -12.101018428802481, -1.8605728944142006, 1.2282172838846943, 4.316870371500721, -4.957695139778922, 10.415166616439706]"
15,4,3,1,115,0.09095746768269553,8.270871418493757,"[0.0, 0.5217391304347826, 2.0869565217391304, 2.608695652173913, 4.173913043478261, 4.695652173913043, 6.260869565217391, 6.782608695652173, 8.34782608695652, 8.869565217391303]","[0.0, 0.49602675437927246, 2.368232011795044, 2.9605722427368164, 4.768405199050903, 5.264406681060791, 6.84842586517334, 7.360516548156738, 8.848770380020142, 9.328960657119751]","[0.21320676803588867, 0.37311744689941406, 0.7092351913452148, 0.8371772766113281, 2.5814404487609863, 2.7095446586608887, 3.1737802028656006, 3.302048683166504, 4.981612920761108, 5.1095521450042725, 5.4776153564453125, 5.574003458023071, 7.06163477897644, 7.189743518829346, 7.573725461959839, 7.7017600536346436, 9.061973333358765, 9.18986177444458, 9.542169570922852, 9.639110326766968]","[-0.025712376055510133, 0.3069878661114238, 0.07060110050698976, 0.24261556500973924, -0.025737648424894566, 0.018801792808201157, -0.009648447451383824, -0.07696355944094346, -0.041548853335173774]","[-4.928205410639443, 19.613113668229857, 13.531877597173034, 15.50043887562223, -4.933049281438128, 1.201225651635074, -1.849285761515234, -4.917116297615835, -7.963530222574964]"
16,4,4,1,115,0.089501758704439,7.663246143011403,"[0.0, 0.5217391304347826, 2.0869565217391304, 2.608695652173913, 4.173913043478261, 4.695652173913043, 6.260869565217391, 6.782608695652173, 8.34782608695652, 8.869565217391303]","[0.0, 0.5120980739593506, 2.4964115619659424, 2.9603474140167236, 4.689244270324707, 5.216482400894165, 6.832596302032471, 7.296733379364014, 8.896793365478516, 9.424988269805908]","[0.055234432220458984, 0.21534442901611328, 0.5673325061798096, 0.6952855587005615, 2.551645278930664, 2.663494825363159, 3.01558256149292, 3.1275131702423096, 4.744478225708008, 4.8723320960998535, 5.2717180252075195, 5.3676979541778564, 6.887831926345825, 7.016520023345947, 7.351969242095947, 7.464067459106445, 8.952028274536133, 9.096132755279541, 9.480224132537842, 9.576936483383179]","[-0.009641056475432008, 0.4190960967022441, -0.057803278384001455, 0.16367946500363573, 0.005499000134675747, 0.05089650983395799, -0.05760205310323929, 0.03484259481015517, 0.006455773892609429]","[-1.847869157791135, 26.77558395597671, -11.078961690266944, 10.457299153010062, 1.0539750258128522, 3.251721461613983, -11.040393511454205, 2.2260546684265816, 1.2373566627501391]"
17,4,5,1,115,0.07524364466828437,8.449128454114195,"[0.0, 0.5217391304347826, 2.0869565217391304, 2.608695652173913, 4.173913043478261, 4.695652173913043, 6.260869565217391, 6.782608695652173, 8.34782608695652, 8.869565217391303]","[0.0, 0.47998666763305664, 2.1759262084960938, 2.639852285385132, 4.143809795379639, 4.6250059604644775, 6.192328929901123, 6.623300075531006, 8.415106534957886, 8.911206007003784]","[0.23054957389831543, 0.35850095748901367, 0.7105364799499512, 0.8069288730621338, 2.406475305557251, 2.5183801651000977, 2.870401620864868, 2.9663491249084473, 4.374358654022217, 4.454097270965576, 4.855555772781372, 4.966046094894409, 6.4228761196136475, 6.517920017242432, 6.853849649429321, 6.949833631515503, 8.645655632019043, 8.758008241653442, 9.141755819320679, 9.237974166870117]","[-0.041752462801725954, 0.13072214955868944, -0.05781305354574462, -0.061259881309840836, -0.040542965349943394, 0.002105578132297836, -0.09076798480489945, 0.2265890681225331, -0.025639658388884712]","[-8.002555370330807, 8.351692888471826, -11.080835262934384, -3.9138257503509424, -7.7707350254058225, 0.13452304734125067, -17.39719708760574, 14.476523796717403, -4.914267857869565]"
18,4,1,1,115,0.07545931788458322,7.094732405226896,"[0.0, 0.5217391304347826, 2.0869565217391304, 2.608695652173913, 4.173913043478261, 4.695652173913043, 6.260869565217391, 6.782608695652173, 8.34782608695652, 8.869565217391303]","[0.0, 0.49677252769470215, 2.0149452686309814, 2.4788689613342285, 3.8869106769561768, 4.39870810508728, 5.902633190155029, 6.382715463638306, 7.69446063041687, 8.190431356430054]","[0.1300983428955078, 0.2732844352722168, 0.6268720626831055, 0.7532479763031006, 2.145045280456543, 2.273383855819702, 2.6089704036712646, 2.7059481143951416, 4.017011404037476, 4.14585280418396, 4.528809309005737, 4.625150442123413, 6.032733917236328, 6.12920618057251, 6.512816667556763, 6.608665943145752, 7.824560880661011, 7.952601909637451, 8.32053279876709, 8.41654109954834, 9.424530982971191, 9.536475658416748, 9.824588060379028, 9.936506509780884]","[-0.024966602740080446, -0.047044650368068375, -0.057815437731535635, -0.15717567568239943, -0.009941702303678746, -0.06129230623659865, -0.041656856951505894, -0.25347222452578233, -0.025768404421599556]","[-4.785265525182085, -3.0056304401821463, -11.081292231877661, -10.041779279708853, -1.9054929415384274, -3.915897342893803, -7.984230915705301, -16.194058789147213, -4.938944180806577]"
19,2,0,4,130,0.0543376199015371,6.160787982170032,"[0.0, 0.46153846153846156, 1.8461538461538463, 2.307692307692308, 3.6923076923076925, 4.153846153846154, 5.538461538461538, 6.0, 7.384615384615385, 7.846153846153847, 9.230769230769232, 9.692307692307693]","[0.0, 0.44831037521362305, 1.6803388595581055, 2.192298412322998, 3.488128423690796, 3.9362363815307617, 5.232007026672363, 5.711853981018066, 7.008234977722168, 7.456226587295532, 8.831890344619751, 9.23205304145813]","[-0.6042861938476562, -0.4920389652252197, -0.155975341796875, -0.06030154228210449, 1.0760526657104492, 1.1880006790161133, 1.588012456893921, 1.6999342441558838, 2.8838419914245605, 2.979841947555542, 3.3319506645202637, 3.459662914276123, 4.627720832824707, 4.756002902984619, 5.107568025588989, 5.235944509506226, 6.403949022293091, 6.515778303146362, 6.851940393447876, 6.963890314102173, 8.227604389190674, 8.339746236801147, 8.627767324447632, 8.739550113677979, 10.00374150276184]","[-0.013228086324838517, -0.15258690027090216, 0.0504210912264309, -0.08878537324758673, -0.013430503698495855, -0.08884473947378257, 0.01830849280724145, -0.08823438791128346, -0.013546851965097417, -0.008951627291166275, -0.06137576470008277]","[-2.8660853703816787, -11.020165019565157, 10.924569765726693, -6.412276956770153, -2.909942468007434, -6.416564517550966, 3.966840108235646, -6.37248357137047, -2.9351512591044395, -0.6465064154731197, -13.298082351684595]"
20,2,3,4,130,0.12398032875327795,13.714934117866283,"[0.0, 0.46153846153846156, 1.8461538461538463, 2.307692307692308, 3.6923076923076925, 4.153846153846154, 5.538461538461538, 6.0, 7.384615384615385, 7.846153846153847, 9.230769230769232, 9.692307692307693]","[0.0, 0.4008522033691406, 1.6000206470489502, 2.096200466156006, 3.5359714031219482, 3.9519541263580322, 5.232013702392578, 5.616009712219238, 7.152081251144409, 7.600041389465332, 8.480040788650513, 9.072128295898438]","[0.283186674118042, 0.4272313117980957, 0.6840395927429199, 0.7952146530151367, 1.8832087516784668, 1.9951574802398682, 2.3793885707855225, 2.491119146347046, 3.819159746170044, 3.9311580657958984, 4.235142707824707, 4.31506872177124, 5.515200853347778, 5.6271491050720215, 5.8991968631744385, 6.011740207672119, 7.435267686843872, 7.547324180603027, 7.883228778839111, 7.963224649429321, 8.76322865486145, 8.85924482345581, 9.355315208435059, 9.467426300048828]","[-0.06068625816932094, -0.185446940935575, 0.03464135756859399, 0.0551555523505578, -0.04555573830237769, -0.10455580858083824, -0.07754245171180152, 0.15145615430978587, -0.013578323217538824, -0.5046159854302044, 0.13054904570946313]","[-13.148689270019537, -13.393390178680416, 7.505627473195362, 3.983456558651397, -9.870409965515163, -7.551252841949431, -16.800864537556993, 10.938500033484532, -2.941970030466744, -36.44448783662586, 28.28562657038367]"
