pid,autonomy,auto_grouped,human_traj_err,robot_traj_err,overall_traj_err,tapping_err_short,tapping_err_long,tapping_err_ave,pupil_diameter,left_index,right_index,pupil_index,tlx_mental,tlx_physical,tlx_hurried,tlx_insecure,tlx_hard,tlx_successful,tlx_ave,mdmt_reliable,mdmt_capable,mdmt_predictable,mdmt_skilled,mdmt_counton,mdmt_competent,mdmt_consistent,mdmt_meticulous,mdmt_reliable_ave,mdmt_capable_ave,mdmt_ave,per_auto,single_trust,order,trust_tech,play_games,play_music,noisy_robot
11,0.2,low,2.1270636508772425,0.0,1.7016509207017922,9.646537899971008,5.99552207272061,16.871694044999998,3.252365657733726,2.2,2.3,2.25,12.0,10.0,5.0,4.0,6.0,6.0,7.166666666666667,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,6,5.0,inc,5,6,3,no
13,0.2,low,2.3836323044839376,0.0,1.906905843587149,9.93423561255143,2.745184898376471,6.65542645975,3.472890458867904,1.775,1.9,1.8375,5.0,3.0,3.0,1.0,7.0,7.0,4.333333333333333,3.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,3.75,3.25,3.5,3,4.0,inc,7,7,2,no
15,0.2,low,1.33776393226827,0.0,1.070211145814615,14.329830408096322,16.384755864187547,15.0814195075,3.272809978027031,1.975,1.825,1.9,2.0,3.0,3.0,2.0,3.0,4.0,2.833333333333333,5.0,4.0,5.0,5.0,4.0,4.0,6.0,6.0,5.0,4.75,4.875,5,5.0,inc,6,5,4,no
17,0.2,low,2.244311253099762,0.0,1.7954490024798124,14.09881591796875,6.905861695607504,10.0643424725,3.9149630233216177,1.9,1.875,1.8875,15.0,1.0,5.0,3.0,12.0,11.0,8.833333333333334,4.0,5.0,4.0,2.0,3.6666666666666665,4.0,2.0,2.0,4.25,3.25,3.75,6,7.0,inc,5,5,1,no
19,0.2,low,2.02182932079794,0.0,1.61746345663835,1.9272335370381584,0.8646022942330998,1.4549529842500002,2.783113195964992,1.925,1.75,1.8375,7.0,5.0,6.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,4.0,6.0,6.0,5.0,5.0,5.5,5.25,5,4.0,inc,6,7,5,no
21,0.2,low,2.939437851892865,0.0,2.35155028151429,-2.1149321893850823,2.248862923847321,-0.1538201907499985,2.8691124908046874,2.575,2.575,2.575,2.0,3.0,10.0,1.0,12.0,12.0,6.666666666666667,4.0,5.0,3.0,3.0,3.0,5.0,6.0,4.0,4.0,4.25,4.125,6,5.0,inc,7,6,1,no
23,0.2,low,2.3438410659823177,0.0,1.8750728527858505,3.085759878158578,12.563052773475643,7.155218357499999,3.7796190721485887,1.775,1.975,1.875,6.0,4.0,8.0,3.0,7.0,7.0,5.833333333333333,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.75,4.5,4.625,7,6.0,inc,5,5,4,no
25,0.8,high,6.332396154796325,2.313087800459675,2.0292345940619425,10.24998823801672,5.1345437765121416,7.9482764005660735,4.356589045,5.1,5.225,5.1625,10.0,5.0,11.0,11.0,8.0,13.0,9.666666666666666,2.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.25,2.5,2.375,8,3.0,dec,4,4,1,yes
27,0.8,high,3.2841819203715152,2.3135035259737724,1.827486412751188,5.008578797181412,6.560234427452125,5.71387681025,5.6873242467073695,5.199999999999999,5.175,5.1875,9.0,5.0,6.0,6.0,11.0,14.0,8.5,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.25,2.75,2.5,4,3.0,dec,4,5,2,yes
29,0.8,high,4.75468535,2.333978975,1.966095825,10.490873157978026,15.914025372929054,13.202449265,5.6340487203750005,4.6,4.175,4.3875,7.272727272727272,5.636363636363637,8.545454545454545,5.636363636363637,7.363636363636363,13.0,7.46969696969697,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.25,3.75,3.5,5,5.0,dec,6,5,6,yes
31,0.8,high,4.33070285,2.3742959750000003,1.99185755,6.183025439580248,5.215102682511052,5.752837547549497,4.730828327778826,5.15,5.2250000000000005,5.1875,6.0,5.0,8.0,4.0,7.0,19.0,8.166666666666666,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.75,1.5,1.625,8,3.0,dec,7,7,7,yes
33,0.8,high,4.370927600000001,2.387053525,2.10499395,7.052602618932719,20.27303695678711,13.061890955,3.04348724902602,5.025,4.85,4.9375,11.0,8.0,16.0,4.0,1.0,1.0,6.833333333333333,6.0,6.0,5.0,7.0,7.0,6.0,3.272727272727273,6.0,6.25,6.25,6.25,10,10.0,dec,7,1,1,yes
35,0.8,high,3.2557440540129554,2.3754402367969423,1.9162886869293148,7.728602350861918,11.28320764253538,4.89978284,4.576352506035844,4.7,4.825,4.762499999999999,7.0,7.0,5.0,5.0,6.0,6.0,6.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.5,4.0,4.25,6,6.0,dec,6,6,5,yes
37,0.8,high,3.3128167,2.38590925,1.990457025,9.415815621614447,9.484562054276488,9.4584367025,4.59904635811466,4.699999999999999,4.525,4.612499999999999,3.0,3.0,14.0,3.0,10.0,12.0,7.5,5.0,6.0,5.0,6.0,5.0,5.0,4.0,5.0,4.75,5.5,5.125,7,6.0,dec,5,4,5,yes
39,0.8,high,4.005916631529328,2.3697857397822726,1.896621776080576,2.3990702629089355,-1.3218633333841976,0.5386034657500005,3.986160844433692,4.625,4.925,4.775,3.0,3.0,3.0,3.0,3.0,9.0,4.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.75,1.5,1.625,7,5.0,dec,5,5,4,yes
41,0.8,high,5.658962528979788,2.3334698451887874,1.7913677117671902,16.657662391662598,12.27890094121297,14.69560455,3.640501773909402,4.574999999999999,4.699999999999999,4.6375,8.0,6.0,7.0,5.0,6.0,6.0,6.333333333333333,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.5,4.25,4.375,7,6.0,dec,3,2,4,yes
43,0.8,high,3.74073676754272,2.37046452539223,1.896083758977125,2.099804629882161,14.49620718757313,8.200061372308822,4.091390816589804,4.847727272727273,4.738636363636363,4.793181818181818,9.0,7.0,7.0,7.0,14.0,12.0,9.333333333333334,5.0,5.0,2.0,2.0,4.0,4.0,4.0,2.0,3.75,3.25,3.5,4,2.0,dec,6,2,2,yes
45,0.8,high,4.740589910360845,2.332877765828073,2.0536344170334124,7.728602350861918,11.28320764253538,14.328165852499996,3.308474383679494,4.775,4.699999999999999,4.7375,4.0,3.0,9.0,3.0,6.0,15.0,6.666666666666667,1.0,1.0,2.0,3.0,0.0,1.0,3.0,1.0,1.5,1.5,1.5,3,1.0,dec,4,3,1,yes
47,0.8,high,4.344332769781225,2.3124502553148805,1.951283791600068,7.728602350861918,24.797326359483925,21.3541122535,3.3341964827827804,4.875,3.8,4.3375,10.0,10.0,8.0,11.0,9.0,7.0,9.166666666666666,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.5,4.75,5,5.0,dec,6,1,5,yes
26,0.8,high,4.552444268639134,2.3742959812828524,1.949604895774208,7.572443286577887,-5.2595812082290685,1.7397048794999996,3.3312712094184094,5.2,5.225,5.2125,3.0,4.0,2.0,4.0,7.0,13.0,5.5,5.0,5.0,5.0,2.0,3.0,5.0,3.0,2.0,4.0,3.5,3.75,6,4.0,inc,5,4,5,yes
