pid,trust_tech,play_games,play_music,order,autonomy,auto_grouped,mdmt_reliable,mdmt_capable,mdmt_predictable,mdmt_skilled,mdmt_someone,mdmt_competent,mdmt_consistent,mdmt_meticulous,mdmt_reliable_ave,mdmt_capable_ave,mdmt_ave
20,6,1,2,dec,0.0,low,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.75,0.5,0.625
20,6,1,2,dec,0.2,low,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.75,1.5,1.625
21,7,6,1,inc,0.4,low,5.0,5.0,2.0,4.0,2.0,4.0,5.0,4.0,3.5,4.25,3.875
21,7,6,1,inc,0.0,low,3.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,2.75,4.0,3.375
21,7,6,1,inc,0.2,low,4.0,5.0,3.0,3.0,3.0,5.0,6.0,4.0,4.0,4.25,4.125
21,7,6,1,inc,0.6,high,6.0,7.0,5.0,7.0,6.0,6.0,6.0,5.0,5.75,6.25,6.0
21,7,6,1,inc,0.8,high,6.0,7.0,6.0,7.0,6.0,7.0,7.0,6.0,6.25,6.75,6.5
22,5,1,1,dec,0.4,low,5.0,6.0,6.0,4.0,0.0,4.0,4.0,4.0,3.75,4.5,4.125
22,5,1,1,dec,0.6,high,6.0,6.0,6.0,6.0,4.0,4.0,0.0,3.0,4.0,4.75,4.375
22,5,1,1,dec,0.8,high,7.0,7.0,7.0,7.0,0.0,6.0,6.0,4.0,5.0,6.0,5.5
22,5,1,1,dec,0.0,low,4.0,4.0,3.0,3.0,7.0,4.0,4.0,3.0,4.5,3.5,4.0
22,5,1,1,dec,0.2,low,4.0,5.0,4.0,4.0,1.0,5.0,4.0,3.0,3.25,4.25,3.75
23,5,5,4,inc,0.4,low,6.0,5.0,5.0,4.0,2.0,4.0,4.0,7.0,4.25,5.0,4.625
23,5,5,4,inc,0.0,low,5.0,4.0,3.0,4.0,4.0,4.0,3.0,7.0,3.75,4.75,4.25
23,5,5,4,inc,0.2,low,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.75,4.5,4.625
23,5,5,4,inc,0.6,high,6.0,6.0,7.0,7.0,5.0,5.0,5.0,6.0,5.75,6.0,5.875
23,5,5,4,inc,0.8,high,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,5.75,5.5,5.625
24,6,1,3,dec,0.4,low,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5,1.0,0.75
24,6,1,3,dec,0.6,high,1.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,1.75,0.5,1.125
24,6,1,3,dec,0.8,high,0.0,2.0,4.0,1.0,0.0,0.0,4.0,0.0,2.0,0.75,1.375
24,6,1,3,dec,0.0,low,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,2.5,0.0,1.25
24,6,1,3,dec,0.2,low,0.0,1.0,6.0,2.0,0.0,0.0,6.0,1.0,3.0,1.0,2.0
